iter	RMSE
0	0.1581233041
1	0.1511210574
2	0.1484217471
3	0.1439566529
4	0.1386309616
5	0.1359736896
6	0.1350685745
7	0.1301465408
8	0.1275385561
9	0.1256457376
10	0.1224060065
11	0.1213774287
12	0.1202324627
13	0.1198875232
14	0.1189028347
15	0.1179679948
16	0.1173380347
17	0.1171408783
18	0.1163119886
19	0.1158032978
20	0.115249686
21	0.1151336007
22	0.1149295622
23	0.1148656258
24	0.1144758913
25	0.1141401941
26	0.113914904
27	0.1135895475
28	0.113366784
29	0.1131589717
30	0.1128118201
31	0.1127595601
32	0.1127269429
33	0.1125585235
34	0.1125262729
35	0.1122106746
36	0.1119429241
37	0.1116732167
38	0.1110196912
39	0.1107483664
40	0.1106203429
41	0.1105137479
42	0.1104783997
43	0.1103235522
44	0.1099674897
45	0.1098883501
46	0.1084920365
47	0.1081263346
48	0.1080935495
49	0.1079701495
